SegID_data_1min,SegID_data_5min,SegID_data_15min,SegID_data_60min
164250566,164250566.0,164250566.0,164250566
164255066,164255066.0,164255066.0,164255066
164259990,164259990.0,164259990.0,164259990
164302202,164302202.0,164302202.0,164302202
164345601,164345601.0,164345601.0,164345601
164413222,164413222.0,164413222.0,164413222
164565481,164565481.0,164565481.0,164565481
165330228,165330228.0,165330228.0,165330228
165907571,165907571.0,165907571.0,165907571
165907593,165907593.0,165907593.0,165907593
165914858,165914858.0,165914858.0,165914858
165917853,165917853.0,165917853.0,165917853
165922863,165922863.0,165922863.0,165922863
165922986,165922986.0,165922986.0,165922986
165927088,165927088.0,165927088.0,165927088
165930210,165930336.0,165930336.0,165930210
165930336,165938890.0,165938890.0,165930336
165938890,165951343.0,165951343.0,165938890
165951343,165952406.0,165952406.0,165951343
165952406,165953817.0,165953817.0,165952406
165953817,165957972.0,165957972.0,165953817
165957972,165958426.0,165958426.0,165957972
165958426,165972518.0,165972518.0,165958426
165972518,165975434.0,165975434.0,165972518
165975434,165980497.0,165980497.0,165975434
165980379,165986883.0,165986883.0,165980379
165980497,165989019.0,165989019.0,165980497
165986883,165996709.0,165996709.0,165986883
165989019,165997733.0,165997733.0,165989019
165993269,166002918.0,166002918.0,165993269
165996709,166006383.0,166006383.0,165996709
165997733,166006397.0,166006397.0,165997733
166002918,166007119.0,166007119.0,166002918
166006383,166007242.0,166007242.0,166006383
166006397,166008827.0,166008827.0,166006397
166007102,166010355.0,166010355.0,166007102
166007119,166015628.0,166015628.0,166007119
166007242,166015897.0,166015897.0,166007242
166008827,166016783.0,166016783.0,166008827
166010355,166017475.0,166017475.0,166010355
166015628,166019819.0,166019819.0,166015628
166015897,166024129.0,166024129.0,166015897
166016783,166025817.0,166025817.0,166016783
166017475,166029970.0,166029970.0,166017475
166019819,166030048.0,166030048.0,166019819
166021285,166030974.0,166030974.0,166021285
166024129,166031252.0,166031252.0,166024129
166025817,166034213.0,166034213.0,166025817
166029970,166034837.0,166034837.0,166029970
166030048,166044112.0,166044112.0,166030048
166030974,166045803.0,166045803.0,166030974
166031252,166052111.0,166052111.0,166031252
166034213,166052653.0,166052653.0,166034213
166034837,166053696.0,166053696.0,166034837
166044112,166054813.0,166054813.0,166044112
166045803,166059391.0,166059391.0,166045803
166047890,166061224.0,166061224.0,166047890
166052111,166065645.0,166065645.0,166052111
166052653,166065712.0,166065712.0,166052653
166053696,166067616.0,166067616.0,166053696
166054813,166068534.0,166068534.0,166054813
166059391,166069641.0,166069641.0,166059391
166061224,166071348.0,166071348.0,166061224
166062700,166071470.0,166071470.0,166062700
166063624,166072590.0,166072590.0,166063624
166065645,166074790.0,166074790.0,166065645
166065712,166080418.0,166080418.0,166065712
166067616,166082386.0,166082386.0,166067616
166068534,166082510.0,166082510.0,166068534
166069641,166087447.0,166087447.0,166069641
166071348,166092526.0,166092526.0,166071348
166071470,166096469.0,166096469.0,166071470
166072590,166096923.0,166096923.0,166072590
166074790,166109352.0,166109352.0,166074790
166078955,166112307.0,166112307.0,166078955
166080418,166118782.0,166118782.0,166080418
166082386,166120396.0,166120396.0,166082386
166082510,166120455.0,166120455.0,166082510
166087447,166120892.0,166120892.0,166087447
166092526,166120943.0,166120943.0,166092526
166096469,166121062.0,166121062.0,166096469
166096923,166124596.0,166124596.0,166096923
166098180,166125216.0,166125216.0,166098180
166102741,166127310.0,166127310.0,166102741
166109352,166130078.0,166130078.0,166109352
166112307,166130183.0,166130183.0,166112307
166118782,166131750.0,166131750.0,166118782
166120396,166131810.0,166131810.0,166120396
166120455,166133153.0,166133153.0,166120455
166120892,166134074.0,166134074.0,166120892
166120943,166134781.0,166134781.0,166120943
166121062,166134890.0,166134890.0,166121062
166124596,166135058.0,166135058.0,166124596
166125216,166135137.0,166135137.0,166125216
166127310,166136021.0,166136021.0,166127310
166130078,166140193.0,166140193.0,166130078
166130183,166141422.0,166141422.0,166130183
166131750,166141441.0,166141441.0,166131750
166131810,166142495.0,166142495.0,166131810
166133153,166143351.0,166143351.0,166133153
166134074,166144663.0,166144663.0,166134074
166134781,166145359.0,166145359.0,166134781
166134890,166146748.0,166146748.0,166134890
166135058,166150644.0,166150644.0,166135058
166135137,166151784.0,166151784.0,166135137
166136021,166152330.0,166152330.0,166136021
166138979,166153125.0,166153125.0,166138979
166140193,166158107.0,166158107.0,166140193
166141422,166160035.0,166160035.0,166141422
166141441,166160716.0,166160716.0,166141441
166142495,166160841.0,166160841.0,166142495
166143186,166161364.0,166161364.0,166143186
166143351,166162598.0,166162598.0,166143351
166144663,166162741.0,166162741.0,166144663
166145359,166162750.0,166162750.0,166145359
166146748,166166686.0,166166686.0,166146748
166146752,166171103.0,166171103.0,166146752
166150644,166172238.0,166172238.0,166150644
166151784,166174020.0,166174020.0,166151784
166152330,166175490.0,166175490.0,166152330
166153125,166175795.0,166175795.0,166153125
166158107,166177671.0,166177671.0,166158107
166160035,166179486.0,166179486.0,166160035
166160716,166179718.0,166179718.0,166160716
166160841,166180248.0,166180248.0,166160841
166161364,166182842.0,166182842.0,166161364
166162598,166183753.0,166183753.0,166162598
166162741,166183829.0,166183829.0,166162741
166162750,166184324.0,166184324.0,166162750
166166686,166185291.0,166185291.0,166166686
166169317,166186736.0,166186736.0,166169317
166171103,166186898.0,166186898.0,166171103
166172238,166189630.0,166189630.0,166172238
166174020,166191030.0,166191030.0,166174020
166175490,166191039.0,166191039.0,166175490
166175795,166193821.0,166193821.0,166175795
166177671,166195421.0,166195421.0,166177671
166179486,166198075.0,166198075.0,166179486
166179718,166198464.0,166198464.0,166179718
166180248,166201610.0,166201610.0,166180248
166182842,166201668.0,166201668.0,166182842
166183753,166201777.0,166201777.0,166183753
166183829,166202160.0,166202160.0,166183829
166184324,166203771.0,166203771.0,166184324
166185147,166205140.0,166205140.0,166185147
166185291,166206248.0,166206248.0,166185291
166186736,166207317.0,166207317.0,166186736
166186898,166210487.0,166210487.0,166186898
166189630,166210556.0,166210556.0,166189630
166191030,166210776.0,166210776.0,166191030
166191039,166211915.0,166211915.0,166191039
166193821,166211937.0,166211937.0,166193821
166195421,166212097.0,166212097.0,166195421
166198075,166216357.0,166216357.0,166198075
166198464,166216857.0,166216857.0,166198464
166201610,166216942.0,166216942.0,166201610
166201668,166217560.0,166217560.0,166201668
166201777,166218573.0,166218573.0,166201777
166202160,166219813.0,166219813.0,166202160
166202230,166221607.0,166221607.0,166202230
166203771,166222538.0,166222538.0,166203771
166205140,166225671.0,166225671.0,166205140
166206248,166227854.0,166227854.0,166206248
166207317,166227871.0,166227871.0,166207317
166210487,166229302.0,166229302.0,166210487
166210542,166230072.0,166230072.0,166210542
166210556,166230156.0,166230156.0,166210556
166210776,166230677.0,166230677.0,166210776
166211915,166230681.0,166230681.0,166211915
166211937,166230682.0,166230682.0,166211937
166212097,166230838.0,166230838.0,166212097
166212428,166230909.0,166230909.0,166212428
166216357,166231058.0,166231058.0,166216357
166216857,166237341.0,166237341.0,166216857
166216942,166237730.0,166237730.0,166216942
166217560,166237947.0,166237947.0,166217560
166218573,166238767.0,166238767.0,166218573
166219813,166242981.0,166242981.0,166219813
166221607,166244040.0,166244040.0,166221607
166222538,166244997.0,166244997.0,166222538
166225671,166245237.0,166245237.0,166225671
166227854,166245273.0,166245273.0,166227854
166227871,166247789.0,166247789.0,166227871
166229302,166247928.0,166247928.0,166229302
166230072,166250536.0,166250536.0,166230072
166230156,166250667.0,166250667.0,166230156
166230677,166250754.0,166250754.0,166230677
166230681,166250756.0,166250756.0,166230681
166230682,166250758.0,166250758.0,166230682
166230838,166252193.0,166252193.0,166230838
166230909,166252245.0,166252245.0,166230909
166231058,166252247.0,166252247.0,166231058
166232895,166252276.0,166252276.0,166232895
166237341,166252298.0,166252298.0,166237341
166237730,166257231.0,166257231.0,166237730
166237947,166257395.0,166257395.0,166237947
166238767,166257536.0,166257536.0,166238767
166242981,166257538.0,166257538.0,166242981
166244040,166258411.0,166258411.0,166244040
166244997,166258585.0,166258585.0,166244997
166245237,166258950.0,166258950.0,166245237
166245273,166261147.0,166261147.0,166245273
166246903,166261212.0,166261212.0,166246903
166247789,166262074.0,166262074.0,166247789
166247928,166262075.0,166262075.0,166247928
166250536,166262199.0,166262199.0,166250536
166250667,166262250.0,166262250.0,166250667
166250754,166263810.0,166263810.0,166250754
166250756,166265369.0,166265369.0,166250756
166250758,166266384.0,166266384.0,166250758
166252139,166267159.0,166267159.0,166252139
166252193,166268310.0,166268310.0,166252193
166252245,166268765.0,166268765.0,166252245
166252247,166269618.0,166269618.0,166252247
166252276,166269644.0,166269644.0,166252276
166252298,166269716.0,166269716.0,166252298
166257231,166269733.0,166269733.0,166257231
166257395,166270069.0,166270069.0,166257395
166257536,166271760.0,166271760.0,166257536
166257538,166272356.0,166272356.0,166257538
166258411,166272657.0,166272657.0,166258411
166258585,166274019.0,166274019.0,166258585
166258950,166274059.0,166274059.0,166258950
166261147,166275156.0,166275156.0,166261147
166261212,166276691.0,166276691.0,166261212
166262074,166277308.0,166277308.0,166262074
166262075,166277329.0,166277329.0,166262075
166262187,166278685.0,166278685.0,166262187
166262199,166281275.0,166281275.0,166262199
166262250,166281993.0,166281993.0,166262250
166262779,166283045.0,166283045.0,166262779
166263810,166283052.0,166283052.0,166263810
166265369,166287680.0,166287680.0,166265369
166266384,166289994.0,166289994.0,166266384
166267159,166290089.0,166290089.0,166267159
166268310,166290196.0,166290196.0,166268310
166268765,166290747.0,166290747.0,166268765
166269618,166292638.0,166292638.0,166269618
166269644,166295159.0,166295159.0,166269644
166269716,166296584.0,166296584.0,166269716
166269733,166296661.0,166296661.0,166269733
166270069,166296712.0,166296712.0,166270069
166271760,166296713.0,166296713.0,166271760
166272356,166297739.0,166297739.0,166272356
166272657,166299520.0,166299520.0,166272657
166274019,166299731.0,166299731.0,166274019
166274059,166300116.0,166300116.0,166274059
166275156,166301425.0,166301425.0,166275156
166276691,166301426.0,166301426.0,166276691
166277308,166301427.0,166301427.0,166277308
166277329,166301428.0,166301428.0,166277329
166278685,166301836.0,166301836.0,166278685
166281275,166301882.0,166301882.0,166281275
166281993,166303771.0,166303771.0,166281993
166283045,166305365.0,166305365.0,166283045
166283052,166306242.0,166306242.0,166283052
166287680,166308123.0,166308123.0,166287680
166289994,166309437.0,166309437.0,166289994
166290089,166309704.0,166309704.0,166290089
166290196,166310122.0,166310122.0,166290196
166290747,166310158.0,166310158.0,166290747
166292638,166310210.0,166310210.0,166292638
166294305,166310388.0,166310388.0,166294305
166295159,166310820.0,166310820.0,166295159
166296584,166310917.0,166310917.0,166296584
166296661,166311231.0,166311231.0,166296661
166296712,166312712.0,166312712.0,166296712
166296713,166312762.0,166312762.0,166296713
166296901,166312838.0,166312838.0,166296901
166297739,166314194.0,166314194.0,166297739
166299520,166315541.0,166315541.0,166299520
166299731,166315564.0,166315564.0,166299731
166300116,166316681.0,166316681.0,166300116
166301425,166316682.0,166316682.0,166301425
166301426,166318052.0,166318052.0,166301426
166301427,166318140.0,166318140.0,166301427
166301428,166318149.0,166318149.0,166301428
166301836,166318457.0,166318457.0,166301836
166301882,166319086.0,166319086.0,166301882
166303771,166319162.0,166319162.0,166303771
166305169,166319998.0,166319998.0,166305169
166305365,166320006.0,166320006.0,166305365
166306242,166326986.0,166326986.0,166306242
166308123,166328098.0,166328098.0,166308123
166308630,166332019.0,166332019.0,166308630
166309437,166333297.0,166333297.0,166309437
166309704,166334594.0,166334594.0,166309704
166310122,166334662.0,166334662.0,166310122
166310158,166335374.0,166335374.0,166310158
166310210,166335973.0,166335973.0,166310210
166310388,166335978.0,166335978.0,166310388
166310820,166336211.0,166336211.0,166310820
166310917,166336267.0,166336267.0,166310917
166311231,166336734.0,166336734.0,166311231
166312712,166338583.0,166338583.0,166312712
166312762,166338584.0,166338584.0,166312762
166312838,166339856.0,166339856.0,166312838
166314194,166339932.0,166339932.0,166314194
166315541,166340038.0,166340038.0,166315541
166315564,166341228.0,166341228.0,166315564
166316681,166341469.0,166341469.0,166316681
166316682,166341598.0,166341598.0,166316682
166318052,166342046.0,166342046.0,166318052
166318140,166342118.0,166342118.0,166318140
166318149,166342696.0,166342696.0,166318149
166318457,166342775.0,166342775.0,166318457
166319086,166342827.0,166342827.0,166319086
166319162,166343256.0,166343256.0,166319162
166319998,166345078.0,166345078.0,166319998
166320006,166346994.0,166346994.0,166320006
166326986,166349229.0,166349229.0,166326986
166328098,166350212.0,166350212.0,166328098
166332019,166351742.0,166351742.0,166332019
166333297,166352273.0,166352273.0,166333297
166334594,166355888.0,166355888.0,166334594
166334662,166356086.0,166356086.0,166334662
166335374,166356755.0,166356755.0,166335374
166335743,166356892.0,166356892.0,166335743
166335973,166357824.0,166357824.0,166335973
166335978,166359623.0,166359623.0,166335978
166336211,166359749.0,166359749.0,166336211
166336267,166360045.0,166360045.0,166336267
166336734,166360253.0,166360253.0,166336734
166338583,166360288.0,166360288.0,166338583
166338584,166360289.0,166360289.0,166338584
166339856,166360829.0,166360829.0,166339856
166339932,166362954.0,166362954.0,166339932
166340038,166365264.0,166365264.0,166340038
166341228,166366239.0,166366239.0,166341228
166341469,166366258.0,166366258.0,166341469
166341598,166367934.0,166367934.0,166341598
166342046,166368954.0,166368954.0,166342046
166342118,166368981.0,166368981.0,166342118
166342696,166369522.0,166369522.0,166342696
166342775,166370797.0,166370797.0,166342775
166342827,166370876.0,166370876.0,166342827
166343256,166371402.0,166371402.0,166343256
166345078,166371854.0,166371854.0,166345078
166346994,166372348.0,166372348.0,166346994
166349229,166372844.0,166372844.0,166349229
166350212,166372870.0,166372870.0,166350212
166351742,166374476.0,166374476.0,166351742
166352273,166374623.0,166374623.0,166352273
166355888,166374628.0,166374628.0,166355888
166356086,166374629.0,166374629.0,166356086
166356755,166374653.0,166374653.0,166356755
166356892,166374660.0,166374660.0,166356892
166357824,166374844.0,166374844.0,166357824
166359623,166376781.0,166376781.0,166359623
166359749,166378739.0,166378739.0,166359749
166360045,166379619.0,166379619.0,166360045
166360253,166379706.0,166379706.0,166360253
166360288,166379720.0,166379720.0,166360288
166360289,166380131.0,166380131.0,166360289
166360829,166381387.0,166381387.0,166360829
166362954,166384594.0,166384594.0,166362954
166365260,166384640.0,166384640.0,166365260
166365264,166384917.0,166384917.0,166365264
166365457,166385316.0,166385316.0,166365457
166366239,166385350.0,166385350.0,166366239
166366258,166385758.0,166385758.0,166366258
166367934,166385838.0,166385838.0,166367934
166368954,166386131.0,166386131.0,166368954
166368981,166386213.0,166386213.0,166368981
166369522,166387028.0,166387028.0,166369522
166370797,166387037.0,166387037.0,166370797
166370876,166387300.0,166387300.0,166370876
166371402,166388091.0,166388091.0,166371402
166371854,166388182.0,166388182.0,166371854
166372348,166388185.0,166388185.0,166372348
166372844,166388265.0,166388265.0,166372844
166372870,166389818.0,166389818.0,166372870
